BY,Stock,Region,Area,S,R,,,
1968,Willapa,Washington Outer Coast,South,13.20,102.45,,,
1969,Willapa,Washington Outer Coast,South,33.90,49.56,,,
1970,Willapa,Washington Outer Coast,South,23.10,32.83,,,
1971,Willapa,Washington Outer Coast,South,37.60,28.03,,,
1972,Willapa,Washington Outer Coast,South,22.40,70.22,,,
1973,Willapa,Washington Outer Coast,South,14.50,10.96,,,
1974,Willapa,Washington Outer Coast,South,12.20,82.71,,,
1975,Willapa,Washington Outer Coast,South,12.60,5.13,,,
1976,Willapa,Washington Outer Coast,South,16.50,37.76,,,
1977,Willapa,Washington Outer Coast,South,40.20,60.29,,,
1978,Willapa,Washington Outer Coast,South,18.90,157.31,,,
1979,Willapa,Washington Outer Coast,South,6.40,40.61,,,
1980,Willapa,Washington Outer Coast,South,37.30,49.59,,,
1981,Willapa,Washington Outer Coast,South,22.10,56.76,,,
1982,Willapa,Washington Outer Coast,South,66.90,112.55,,,
1983,Willapa,Washington Outer Coast,South,20.90,41.94,,,
1984,Willapa,Washington Outer Coast,South,42.50,250.65,,,
1985,Willapa,Washington Outer Coast,South,51.30,16.46,,,
1986,Willapa,Washington Outer Coast,South,32.40,33.92,,,
1987,Willapa,Washington Outer Coast,South,31.90,45.64,,,
1988,Willapa,Washington Outer Coast,South,61.90,138.67,,,
1989,Willapa,Washington Outer Coast,South,17.10,24.16,,,
1990,Willapa,Washington Outer Coast,South,17.76,28.89,,,
1991,Willapa,Washington Outer Coast,South,33.97,24.38,,,
1992,Willapa,Washington Outer Coast,South,37.07,27.91,,,
1993,Willapa,Washington Outer Coast,South,34.64,25.97,,,
1994,Willapa,Washington Outer Coast,South,30.53,-1.00,,,
1995,Willapa,Washington Outer Coast,South,24.70,-1.00,,,
1969,Grays Harbour,Washington Outer Coast,South,11.15,46.16,,,
1970,Grays Harbour,Washington Outer Coast,South,15.70,39.29,,,
1971,Grays Harbour,Washington Outer Coast,South,10.25,16.84,,,
1972,Grays Harbour,Washington Outer Coast,South,8.00,48.67,,,
1973,Grays Harbour,Washington Outer Coast,South,12.35,7.51,,,
1977,Grays Harbour,Washington Outer Coast,South,21.00,56.90,,,
1978,Grays Harbour,Washington Outer Coast,South,11.00,100.07,,,
1980,Grays Harbour,Washington Outer Coast,South,24.70,32.67,,,
1981,Grays Harbour,Washington Outer Coast,South,18.05,56.23,,,
1982,Grays Harbour,Washington Outer Coast,South,35.10,75.03,,,
1983,Grays Harbour,Washington Outer Coast,South,21.00,19.31,,,
1984,Grays Harbour,Washington Outer Coast,South,23.70,193.49,,,
1985,Grays Harbour,Washington Outer Coast,South,31.30,10.37,,,
1986,Grays Harbour,Washington Outer Coast,South,19.55,13.89,,,
1987,Grays Harbour,Washington Outer Coast,South,9.48,34.26,,,
1988,Grays Harbour,Washington Outer Coast,South,62.18,108.44,,,
1989,Grays Harbour,Washington Outer Coast,South,9.08,25.04,,,
1990,Grays Harbour,Washington Outer Coast,South,8.97,24.95,,,
1991,Grays Harbour,Washington Outer Coast,South,17.94,9.41,,,
1992,Grays Harbour,Washington Outer Coast,South,38.30,21.44,,,
1993,Grays Harbour,Washington Outer Coast,South,21.06,18.39,,,
1994,Grays Harbour,Washington Outer Coast,South,24.59,-1.00,,,
1995,Grays Harbour,Washington Outer Coast,South,12.62,-1.00,,,
1968,Skagit,Puget Sound,South,44.05,179.28,,,
1969,Skagit,Puget Sound,South,22.39,84.70,,,
1970,Skagit,Puget Sound,South,127.59,148.37,,,
1971,Skagit,Puget Sound,South,48.83,48.32,,,
1972,Skagit,Puget Sound,South,144.73,134.85,,,
1973,Skagit,Puget Sound,South,83.50,48.14,,,
1974,Skagit,Puget Sound,South,160.25,213.87,,,
1975,Skagit,Puget Sound,South,15.76,43.01,,,
1976,Skagit,Puget Sound,South,93.00,118.05,,,
1977,Skagit,Puget Sound,South,36.00,77.46,,,
1978,Skagit,Puget Sound,South,132.90,292.93,,,
1979,Skagit,Puget Sound,South,23.51,22.06,,,
1980,Skagit,Puget Sound,South,19.43,35.41,,,
1981,Skagit,Puget Sound,South,16.94,96.02,,,
1982,Skagit,Puget Sound,South,142.54,381.36,,,
1983,Skagit,Puget Sound,South,3.93,23.59,,,
1984,Skagit,Puget Sound,South,46.82,185.67,,,
1985,Skagit,Puget Sound,South,45.19,25.22,,,
1986,Skagit,Puget Sound,South,81.87,322.08,,,
1987,Skagit,Puget Sound,South,42.85,33.93,,,
1988,Skagit,Puget Sound,South,119.79,203.80,,,
1989,Skagit,Puget Sound,South,13.90,32.75,,,
1990,Skagit,Puget Sound,South,110.57,304.23,,,
1991,Skagit,Puget Sound,South,22.00,27.20,,,
1992,Skagit,Puget Sound,South,95.94,144.38,,,
1993,Skagit,Puget Sound,South,16.67,17.07,,,
1994,Skagit,Puget Sound,South,121.78,-1.00,,,
1995,Skagit,Puget Sound,South,38.67,-1.00,,,
1968,Nooksack,Puget Sound,South,10.78,39.93,,,
1969,Nooksack,Puget Sound,South,26.79,34.17,,,
1970,Nooksack,Puget Sound,South,33.60,21.61,,,
1971,Nooksack,Puget Sound,South,9.34,11.15,,,
1972,Nooksack,Puget Sound,South,26.78,31.91,,,
1973,Nooksack,Puget Sound,South,26.01,46.86,,,
1974,Nooksack,Puget Sound,South,9.59,36.90,,,
1975,Nooksack,Puget Sound,South,6.01,29.93,,,
1976,Nooksack,Puget Sound,South,4.85,13.63,,,
1977,Nooksack,Puget Sound,South,21.26,89.03,,,
1978,Nooksack,Puget Sound,South,14.68,106.39,,,
1979,Nooksack,Puget Sound,South,27.39,51.46,,,
1980,Nooksack,Puget Sound,South,25.45,92.74,,,
1981,Nooksack,Puget Sound,South,62.36,175.68,,,
1982,Nooksack,Puget Sound,South,44.29,85.50,,,
1983,Nooksack,Puget Sound,South,20.70,68.02,,,
1984,Nooksack,Puget Sound,South,45.90,108.30,,,
1985,Nooksack,Puget Sound,South,40.35,37.12,,,
1986,Nooksack,Puget Sound,South,20.33,81.13,,,
1987,Nooksack,Puget Sound,South,15.83,44.41,,,
1988,Nooksack,Puget Sound,South,35.21,72.73,,,
1989,Nooksack,Puget Sound,South,11.67,66.44,,,
1990,Nooksack,Puget Sound,South,31.09,156.88,,,
1991,Nooksack,Puget Sound,South,31.30,61.15,,,
1992,Nooksack,Puget Sound,South,43.28,69.63,,,
1993,Nooksack,Puget Sound,South,25.31,52.14,,,
1994,Nooksack,Puget Sound,South,92.16,-1.00,,,
1995,Nooksack,Puget Sound,South,35.86,-1.00,,,
1968,Stillaguamish,Puget Sound,South,39.26,74.48,,,
1969,Stillaguamish,Puget Sound,South,27.50,30.37,,,
1970,Stillaguamish,Puget Sound,South,75.22,63.61,,,
1971,Stillaguamish,Puget Sound,South,17.79,22.78,,,
1972,Stillaguamish,Puget Sound,South,32.75,90.17,,,
1973,Stillaguamish,Puget Sound,South,16.20,39.74,,,
1974,Stillaguamish,Puget Sound,South,56.11,117.61,,,
1975,Stillaguamish,Puget Sound,South,9.77,13.15,,,
1976,Stillaguamish,Puget Sound,South,43.33,59.40,,,
1977,Stillaguamish,Puget Sound,South,28.73,65.45,,,
1978,Stillaguamish,Puget Sound,South,98.50,264.13,,,
1979,Stillaguamish,Puget Sound,South,7.88,13.20,,,
1980,Stillaguamish,Puget Sound,South,42.70,71.14,,,
1981,Stillaguamish,Puget Sound,South,21.33,215.21,,,
1982,Stillaguamish,Puget Sound,South,108.07,326.00,,,
1983,Stillaguamish,Puget Sound,South,9.01,73.18,,,
1984,Stillaguamish,Puget Sound,South,87.84,453.41,,,
1985,Stillaguamish,Puget Sound,South,125.70,60.18,,,
1986,Stillaguamish,Puget Sound,South,145.87,252.46,,,
1987,Stillaguamish,Puget Sound,South,45.71,54.35,,,
1988,Stillaguamish,Puget Sound,South,149.01,180.70,,,
1989,Stillaguamish,Puget Sound,South,15.62,58.36,,,
1990,Stillaguamish,Puget Sound,South,67.81,329.38,,,
1991,Stillaguamish,Puget Sound,South,23.22,52.01,,,
1992,Stillaguamish,Puget Sound,South,69.25,212.64,,,
1993,Stillaguamish,Puget Sound,South,20.57,27.64,,,
1994,Stillaguamish,Puget Sound,South,237.89,-1.00,,,
1995,Stillaguamish,Puget Sound,South,49.44,-1.00,,,
1968,Hood Canal,Puget Sound,South,47.80,111.01,,,
1969,Hood Canal,Puget Sound,South,30.07,53.94,,,
1970,Hood Canal,Puget Sound,South,41.70,89.81,,,
1971,Hood Canal,Puget Sound,South,41.14,54.91,,,
1972,Hood Canal,Puget Sound,South,41.60,64.23,,,
1973,Hood Canal,Puget Sound,South,27.87,124.11,,,
1974,Hood Canal,Puget Sound,South,52.22,277.26,,,
1975,Hood Canal,Puget Sound,South,16.27,121.04,,,
1976,Hood Canal,Puget Sound,South,48.08,37.22,,,
1977,Hood Canal,Puget Sound,South,26.07,144.30,,,
1978,Hood Canal,Puget Sound,South,79.16,52.43,,,
1979,Hood Canal,Puget Sound,South,14.32,57.90,,,
1980,Hood Canal,Puget Sound,South,21.67,63.14,,,
1981,Hood Canal,Puget Sound,South,14.31,239.95,,,
1982,Hood Canal,Puget Sound,South,12.13,133.44,,,
1983,Hood Canal,Puget Sound,South,7.15,246.90,,,
1984,Hood Canal,Puget Sound,South,23.04,172.50,,,
1985,Hood Canal,Puget Sound,South,51.34,178.56,,,
1986,Hood Canal,Puget Sound,South,29.94,107.36,,,
1987,Hood Canal,Puget Sound,South,24.58,112.77,,,
1988,Hood Canal,Puget Sound,South,31.02,354.61,,,
1989,Hood Canal,Puget Sound,South,25.11,306.47,,,
1990,Hood Canal,Puget Sound,South,21.16,217.79,,,
1991,Hood Canal,Puget Sound,South,45.09,105.85,,,
1992,Hood Canal,Puget Sound,South,96.46,636.56,,,
1993,Hood Canal,Puget Sound,South,68.51,174.05,,,
1994,Hood Canal,Puget Sound,South,151.81,-1.00,,,
1995,Hood Canal,Puget Sound,South,119.34,-1.00,,,
1968,S Sound Fall Run,Puget Sound,South,46.97,327.86,,,
1969,S Sound Fall Run,Puget Sound,South,35.60,150.77,,,
1970,S Sound Fall Run,Puget Sound,South,41.65,176.50,,,
1971,S Sound Fall Run,Puget Sound,South,43.70,101.27,,,
1972,S Sound Fall Run,Puget Sound,South,65.21,101.45,,,
1973,S Sound Fall Run,Puget Sound,South,55.30,292.31,,,
1974,S Sound Fall Run,Puget Sound,South,99.54,296.00,,,
1975,S Sound Fall Run,Puget Sound,South,31.10,100.75,,,
1976,S Sound Fall Run,Puget Sound,South,53.31,62.38,,,
1977,S Sound Fall Run,Puget Sound,South,54.08,380.08,,,
1978,S Sound Fall Run,Puget Sound,South,105.47,107.21,,,
1979,S Sound Fall Run,Puget Sound,South,18.75,234.09,,,
1980,S Sound Fall Run,Puget Sound,South,85.65,102.59,,,
1981,S Sound Fall Run,Puget Sound,South,43.27,313.92,,,
1982,S Sound Fall Run,Puget Sound,South,31.15,212.98,,,
1983,S Sound Fall Run,Puget Sound,South,36.69,237.12,,,
1984,S Sound Fall Run,Puget Sound,South,73.32,452.24,,,
1985,S Sound Fall Run,Puget Sound,South,99.35,175.97,,,
1986,S Sound Fall Run,Puget Sound,South,89.81,325.58,,,
1987,S Sound Fall Run,Puget Sound,South,153.54,145.31,,,
1988,S Sound Fall Run,Puget Sound,South,93.66,530.52,,,
1989,S Sound Fall Run,Puget Sound,South,47.91,159.87,,,
1990,S Sound Fall Run,Puget Sound,South,106.51,532.04,,,
1991,S Sound Fall Run,Puget Sound,South,82.94,200.67,,,
1992,S Sound Fall Run,Puget Sound,South,148.38,800.19,,,
1993,S Sound Fall Run,Puget Sound,South,133.69,139.01,,,
1994,S Sound Fall Run,Puget Sound,South,237.12,-1.00,,,
1995,S Sound Fall Run,Puget Sound,South,232.56,-1.00,,,
1968,S Sound Summer Run,Puget Sound,South,22.01,128.51,,,
1969,S Sound Summer Run,Puget Sound,South,3.44,41.80,,,
1970,S Sound Summer Run,Puget Sound,South,5.41,29.29,,,
1971,S Sound Summer Run,Puget Sound,South,4.81,13.76,,,
1972,S Sound Summer Run,Puget Sound,South,33.52,74.84,,,
1973,S Sound Summer Run,Puget Sound,South,9.64,10.40,,,
1974,S Sound Summer Run,Puget Sound,South,19.73,13.71,,,
1975,S Sound Summer Run,Puget Sound,South,5.80,5.53,,,
1976,S Sound Summer Run,Puget Sound,South,32.74,7.69,,,
1977,S Sound Summer Run,Puget Sound,South,3.84,22.23,,,
1978,S Sound Summer Run,Puget Sound,South,5.88,4.82,,,
1979,S Sound Summer Run,Puget Sound,South,1.01,5.43,,,
1980,S Sound Summer Run,Puget Sound,South,7.56,15.11,,,
1981,S Sound Summer Run,Puget Sound,South,6.29,10.13,,,
1982,S Sound Summer Run,Puget Sound,South,4.09,19.45,,,
1983,S Sound Summer Run,Puget Sound,South,1.77,16.98,,,
1984,S Sound Summer Run,Puget Sound,South,8.03,91.74,,,
1985,S Sound Summer Run,Puget Sound,South,4.02,43.97,,,
1986,S Sound Summer Run,Puget Sound,South,10.02,61.37,,,
1987,S Sound Summer Run,Puget Sound,South,19.06,28.58,,,
1988,S Sound Summer Run,Puget Sound,South,31.43,142.87,,,
1989,S Sound Summer Run,Puget Sound,South,7.42,31.56,,,
1990,S Sound Summer Run,Puget Sound,South,14.59,67.18,,,
1991,S Sound Summer Run,Puget Sound,South,12.18,5.94,,,
1992,S Sound Summer Run,Puget Sound,South,19.59,117.57,,,
1993,S Sound Summer Run,Puget Sound,South,33.18,17.08,,,
1994,S Sound Summer Run,Puget Sound,South,54.39,-1.00,,,
1995,S Sound Summer Run,Puget Sound,South,37.59,-1.00,,,
1968,S Sound Winter Run,Puget Sound,South,27.55,70.08,,,
1969,S Sound Winter Run,Puget Sound,South,20.29,41.95,,,
1970,S Sound Winter Run,Puget Sound,South,34.07,65.16,,,
1971,S Sound Winter Run,Puget Sound,South,9.94,18.35,,,
1972,S Sound Winter Run,Puget Sound,South,34.39,30.41,,,
1973,S Sound Winter Run,Puget Sound,South,29.83,66.74,,,
1974,S Sound Winter Run,Puget Sound,South,34.68,45.42,,,
1975,S Sound Winter Run,Puget Sound,South,9.94,47.75,,,
1976,S Sound Winter Run,Puget Sound,South,23.31,25.34,,,
1977,S Sound Winter Run,Puget Sound,South,23.59,100.12,,,
1978,S Sound Winter Run,Puget Sound,South,29.61,37.19,,,
1979,S Sound Winter Run,Puget Sound,South,22.61,41.42,,,
1980,S Sound Winter Run,Puget Sound,South,41.02,58.84,,,
1981,S Sound Winter Run,Puget Sound,South,31.33,56.76,,,
1982,S Sound Winter Run,Puget Sound,South,30.57,38.73,,,
1983,S Sound Winter Run,Puget Sound,South,14.01,104.54,,,
1984,S Sound Winter Run,Puget Sound,South,33.73,130.57,,,
1985,S Sound Winter Run,Puget Sound,South,26.07,62.62,,,
1986,S Sound Winter Run,Puget Sound,South,21.83,75.54,,,
1987,S Sound Winter Run,Puget Sound,South,73.99,29.90,,,
1988,S Sound Winter Run,Puget Sound,South,42.68,38.69,,,
1989,S Sound Winter Run,Puget Sound,South,28.19,16.21,,,
1990,S Sound Winter Run,Puget Sound,South,15.99,115.55,,,
1991,S Sound Winter Run,Puget Sound,South,30.73,24.26,,,
1992,S Sound Winter Run,Puget Sound,South,8.09,43.17,,,
1993,S Sound Winter Run,Puget Sound,South,22.91,8.55,,,
1994,S Sound Winter Run,Puget Sound,South,72.95,-1.00,,,
1995,S Sound Winter Run,Puget Sound,South,23.37,-1.00,,,
1959,Fraser,BC South Coast,South,152.30,394.31,,,
1960,Fraser,BC South Coast,South,144.78,400.12,,,
1961,Fraser,BC South Coast,South,103.95,156.51,,,
1962,Fraser,BC South Coast,South,130.36,315.79,,,
1963,Fraser,BC South Coast,South,192.25,151.65,,,
1964,Fraser,BC South Coast,South,246.74,1063.85,,,
1965,Fraser,BC South Coast,South,129.48,491.33,,,
1966,Fraser,BC South Coast,South,360.84,1009.66,,,
1967,Fraser,BC South Coast,South,213.87,268.77,,,
1968,Fraser,BC South Coast,South,670.53,1865.06,,,
1969,Fraser,BC South Coast,South,309.25,1861.50,,,
1970,Fraser,BC South Coast,South,284.28,435.79,,,
1971,Fraser,BC South Coast,South,290.15,385.43,,,
1972,Fraser,BC South Coast,South,423.29,1162.29,,,
1973,Fraser,BC South Coast,South,267.11,736.70,,,
1974,Fraser,BC South Coast,South,350.39,1446.85,,,
1975,Fraser,BC South Coast,South,191.45,344.98,,,
1976,Fraser,BC South Coast,South,340.54,902.61,,,
1977,Fraser,BC South Coast,South,599.37,755.06,,,
1978,Fraser,BC South Coast,South,359.07,641.22,,,
1979,Fraser,BC South Coast,South,255.63,387.25,,,
1980,Fraser,BC South Coast,South,312.14,329.02,,,
1981,Fraser,BC South Coast,South,435.52,1339.00,,,
1982,Fraser,BC South Coast,South,320.29,1799.07,,,
1983,Fraser,BC South Coast,South,364.99,623.64,,,
1984,Fraser,BC South Coast,South,433.27,987.08,,,
1985,Fraser,BC South Coast,South,1295.26,695.23,,,
1986,Fraser,BC South Coast,South,972.93,2040.92,,,
1987,Fraser,BC South Coast,South,398.34,606.71,,,
1988,Fraser,BC South Coast,South,585.32,1270.88,,,
1989,Fraser,BC South Coast,South,585.55,1341.78,,,
1990,Fraser,BC South Coast,South,988.88,1645.55,,,
1991,Fraser,BC South Coast,South,859.27,1286.12,,,
1992,Fraser,BC South Coast,South,741.62,988.59,,,
1993,Fraser,BC South Coast,South,809.58,-1.00,,,
1994,Fraser,BC South Coast,South,1498.44,-1.00,,,
1959,Inner South Coast wo Fraser,BC South Coast,South,755.98,907.65,,,
1960,Inner South Coast wo Fraser,BC South Coast,South,481.22,770.64,,,
1961,Inner South Coast wo Fraser,BC South Coast,South,476.40,257.44,,,
1962,Inner South Coast wo Fraser,BC South Coast,South,494.47,446.43,,,
1963,Inner South Coast wo Fraser,BC South Coast,South,439.46,249.37,,,
1964,Inner South Coast wo Fraser,BC South Coast,South,531.05,1288.06,,,
1965,Inner South Coast wo Fraser,BC South Coast,South,197.71,634.18,,,
1966,Inner South Coast wo Fraser,BC South Coast,South,519.98,1586.13,,,
1967,Inner South Coast wo Fraser,BC South Coast,South,461.07,315.30,,,
1968,Inner South Coast wo Fraser,BC South Coast,South,931.09,2821.66,,,
1969,Inner South Coast wo Fraser,BC South Coast,South,604.09,2242.85,,,
1970,Inner South Coast wo Fraser,BC South Coast,South,746.76,644.96,,,
1971,Inner South Coast wo Fraser,BC South Coast,South,282.15,488.84,,,
1972,Inner South Coast wo Fraser,BC South Coast,South,1342.23,1158.97,,,
1973,Inner South Coast wo Fraser,BC South Coast,South,1161.30,784.47,,,
1974,Inner South Coast wo Fraser,BC South Coast,South,796.98,1384.46,,,
1975,Inner South Coast wo Fraser,BC South Coast,South,371.46,369.33,,,
1976,Inner South Coast wo Fraser,BC South Coast,South,530.96,1134.50,,,
1977,Inner South Coast wo Fraser,BC South Coast,South,754.43,1234.50,,,
1978,Inner South Coast wo Fraser,BC South Coast,South,954.58,1675.69,,,
1979,Inner South Coast wo Fraser,BC South Coast,South,372.00,853.73,,,
1980,Inner South Coast wo Fraser,BC South Coast,South,962.02,684.06,,,
1981,Inner South Coast wo Fraser,BC South Coast,South,817.60,1987.25,,,
1982,Inner South Coast wo Fraser,BC South Coast,South,935.70,2426.02,,,
1983,Inner South Coast wo Fraser,BC South Coast,South,659.85,1292.73,,,
1984,Inner South Coast wo Fraser,BC South Coast,South,1021.67,1827.13,,,
1985,Inner South Coast wo Fraser,BC South Coast,South,1307.90,654.73,,,
1986,Inner South Coast wo Fraser,BC South Coast,South,851.09,2168.23,,,
1987,Inner South Coast wo Fraser,BC South Coast,South,719.48,835.82,,,
1988,Inner South Coast wo Fraser,BC South Coast,South,854.97,2117.98,,,
1989,Inner South Coast wo Fraser,BC South Coast,South,289.25,2130.36,,,
1990,Inner South Coast wo Fraser,BC South Coast,South,604.46,1654.57,,,
1991,Inner South Coast wo Fraser,BC South Coast,South,939.00,707.00,,,
1992,Inner South Coast wo Fraser,BC South Coast,South,1185.60,664.32,,,
1993,Inner South Coast wo Fraser,BC South Coast,South,1063.34,-1.00,,,
1994,Inner South Coast wo Fraser,BC South Coast,South,1002.30,-1.00,,,
1960,Area 10,BC Central Coast,South,12.50,43.67,,,
1961,Area 10,BC Central Coast,South,5.75,20.56,,,
1962,Area 10,BC Central Coast,South,44.00,13.79,,,
1963,Area 10,BC Central Coast,South,15.75,29.73,,,
1964,Area 10,BC Central Coast,South,15.40,50.82,,,
1965,Area 10,BC Central Coast,South,1.60,40.61,,,
1966,Area 10,BC Central Coast,South,3.93,58.29,,,
1967,Area 10,BC Central Coast,South,15.23,47.10,,,
1968,Area 10,BC Central Coast,South,11.08,70.18,,,
1969,Area 10,BC Central Coast,South,2.65,98.88,,,
1970,Area 10,BC Central Coast,South,22.50,56.93,,,
1971,Area 10,BC Central Coast,South,25.00,19.99,,,
1972,Area 10,BC Central Coast,South,43.25,16.51,,,
1973,Area 10,BC Central Coast,South,71.50,47.37,,,
1974,Area 10,BC Central Coast,South,28.50,64.86,,,
1975,Area 10,BC Central Coast,South,7.50,37.91,,,
1976,Area 10,BC Central Coast,South,8.50,62.81,,,
1977,Area 10,BC Central Coast,South,42.50,77.80,,,
1978,Area 10,BC Central Coast,South,36.00,82.84,,,
1979,Area 10,BC Central Coast,South,13.75,55.14,,,
1980,Area 10,BC Central Coast,South,57.00,27.45,,,
1981,Area 10,BC Central Coast,South,65.50,43.64,,,
1982,Area 10,BC Central Coast,South,70.00,75.17,,,
1983,Area 10,BC Central Coast,South,44.00,60.31,,,
1984,Area 10,BC Central Coast,South,14.20,47.57,,,
1985,Area 10,BC Central Coast,South,26.00,34.29,,,
1986,Area 10,BC Central Coast,South,73.60,42.15,,,
1987,Area 10,BC Central Coast,South,37.50,46.50,,,
1988,Area 10,BC Central Coast,South,41.00,35.47,,,
1989,Area 10,BC Central Coast,South,21.00,31.80,,,
1990,Area 10,BC Central Coast,South,44.35,36.57,,,
1991,Area 10,BC Central Coast,South,30.50,42.61,,,
1992,Area 10,BC Central Coast,South,13.75,28.04,,,
1993,Area 10,BC Central Coast,South,18.60,9.36,,,
1994,Area 10,BC Central Coast,South,17.80,4.97,,,
1995,Area 10,BC Central Coast,South,40.73,-1.00,,,
1996,Area 10,BC Central Coast,South,23.15,-1.00,,,
1960,Area 9,BC Central Coast,South,16.38,82.47,,,
1961,Area 9,BC Central Coast,South,17.13,32.48,,,
1962,Area 9,BC Central Coast,South,25.08,47.41,,,
1963,Area 9,BC Central Coast,South,44.58,45.36,,,
1964,Area 9,BC Central Coast,South,66.08,69.72,,,
1965,Area 9,BC Central Coast,South,0.93,68.02,,,
1966,Area 9,BC Central Coast,South,42.50,110.60,,,
1967,Area 9,BC Central Coast,South,14.93,51.92,,,
1968,Area 9,BC Central Coast,South,41.88,52.66,,,
1969,Area 9,BC Central Coast,South,10.33,72.67,,,
1970,Area 9,BC Central Coast,South,38.60,86.70,,,
1971,Area 9,BC Central Coast,South,11.86,38.73,,,
1972,Area 9,BC Central Coast,South,27.58,30.27,,,
1973,Area 9,BC Central Coast,South,24.43,56.62,,,
1974,Area 9,BC Central Coast,South,62.08,92.86,,,
1975,Area 9,BC Central Coast,South,16.60,43.74,,,
1976,Area 9,BC Central Coast,South,6.35,30.32,,,
1977,Area 9,BC Central Coast,South,9.79,34.99,,,
