BY,Stock,Region,Area,S,R,,,
1978,Area 9,BC Central Coast,South,60.80,87.11,,,
1979,Area 9,BC Central Coast,South,18.55,52.21,,,
1980,Area 9,BC Central Coast,South,23.68,39.54,,,
1981,Area 9,BC Central Coast,South,12.65,87.87,,,
1982,Area 9,BC Central Coast,South,102.18,270.99,,,
1983,Area 9,BC Central Coast,South,34.98,158.91,,,
1984,Area 9,BC Central Coast,South,26.69,82.24,,,
1985,Area 9,BC Central Coast,South,28.65,32.76,,,
1986,Area 9,BC Central Coast,South,201.22,28.18,,,
1987,Area 9,BC Central Coast,South,87.92,19.88,,,
1988,Area 9,BC Central Coast,South,44.42,29.55,,,
1989,Area 9,BC Central Coast,South,10.36,19.15,,,
1990,Area 9,BC Central Coast,South,14.83,27.81,,,
1991,Area 9,BC Central Coast,South,7.18,46.33,,,
1992,Area 9,BC Central Coast,South,16.45,22.51,,,
1993,Area 9,BC Central Coast,South,9.96,15.56,,,
1994,Area 9,BC Central Coast,South,15.47,44.82,,,
1995,Area 9,BC Central Coast,South,39.35,-1.00,,,
1996,Area 9,BC Central Coast,South,16.40,-1.00,,,
1960,Area 8,BC Central Coast,South,93.19,489.06,,,
1961,Area 8,BC Central Coast,South,92.97,183.06,,,
1962,Area 8,BC Central Coast,South,150.73,267.94,,,
1963,Area 8,BC Central Coast,South,236.65,259.16,,,
1964,Area 8,BC Central Coast,South,209.23,448.51,,,
1965,Area 8,BC Central Coast,South,13.60,285.38,,,
1966,Area 8,BC Central Coast,South,135.33,537.39,,,
1967,Area 8,BC Central Coast,South,90.50,244.51,,,
1968,Area 8,BC Central Coast,South,284.25,401.89,,,
1969,Area 8,BC Central Coast,South,84.60,483.93,,,
1970,Area 8,BC Central Coast,South,275.40,369.17,,,
1971,Area 8,BC Central Coast,South,82.88,182.77,,,
1972,Area 8,BC Central Coast,South,221.38,538.01,,,
1973,Area 8,BC Central Coast,South,277.78,204.03,,,
1974,Area 8,BC Central Coast,South,146.80,156.72,,,
1975,Area 8,BC Central Coast,South,83.58,308.74,,,
1976,Area 8,BC Central Coast,South,125.00,406.14,,,
1977,Area 8,BC Central Coast,South,122.95,459.43,,,
1978,Area 8,BC Central Coast,South,49.14,103.96,,,
1979,Area 8,BC Central Coast,South,99.49,700.79,,,
1980,Area 8,BC Central Coast,South,123.48,182.60,,,
1981,Area 8,BC Central Coast,South,107.09,547.28,,,
1982,Area 8,BC Central Coast,South,129.38,2070.71,,,
1983,Area 8,BC Central Coast,South,155.05,759.05,,,
1984,Area 8,BC Central Coast,South,132.26,943.24,,,
1985,Area 8,BC Central Coast,South,220.87,295.37,,,
1986,Area 8,BC Central Coast,South,266.22,1122.78,,,
1987,Area 8,BC Central Coast,South,138.17,188.93,,,
1988,Area 8,BC Central Coast,South,201.54,283.22,,,
1989,Area 8,BC Central Coast,South,121.79,357.59,,,
1990,Area 8,BC Central Coast,South,285.52,759.90,,,
1991,Area 8,BC Central Coast,South,84.61,610.39,,,
1992,Area 8,BC Central Coast,South,112.45,631.13,,,
1993,Area 8,BC Central Coast,South,133.19,515.87,,,
1994,Area 8,BC Central Coast,South,245.00,798.27,,,
1995,Area 8,BC Central Coast,South,204.55,-1.00,,,
1996,Area 8,BC Central Coast,South,219.34,-1.00,,,
1965,Area 6,BC North Coast,South,119.65,275.02,,,
1966,Area 6,BC North Coast,South,372.23,312.87,,,
1967,Area 6,BC North Coast,South,342.85,142.90,,,
1968,Area 6,BC North Coast,South,407.45,815.26,,,
1969,Area 6,BC North Coast,South,78.06,336.28,,,
1970,Area 6,BC North Coast,South,105.65,405.01,,,
1971,Area 6,BC North Coast,South,90.30,77.18,,,
1972,Area 6,BC North Coast,South,271.60,80.80,,,
1973,Area 6,BC North Coast,South,278.75,151.51,,,
1974,Area 6,BC North Coast,South,258.64,401.91,,,
1975,Area 6,BC North Coast,South,79.30,77.19,,,
1976,Area 6,BC North Coast,South,67.34,352.31,,,
1977,Area 6,BC North Coast,South,85.81,221.85,,,
1978,Area 6,BC North Coast,South,185.26,220.32,,,
1979,Area 6,BC North Coast,South,87.81,167.86,,,
1980,Area 6,BC North Coast,South,82.86,123.54,,,
1981,Area 6,BC North Coast,South,93.41,475.53,,,
1982,Area 6,BC North Coast,South,135.78,461.18,,,
1983,Area 6,BC North Coast,South,44.08,143.67,,,
1984,Area 6,BC North Coast,South,119.25,1326.14,,,
1985,Area 6,BC North Coast,South,238.90,297.62,,,
1986,Area 6,BC North Coast,South,264.41,352.89,,,
1987,Area 6,BC North Coast,South,114.66,114.54,,,
1988,Area 6,BC North Coast,South,460.49,214.64,,,
1989,Area 6,BC North Coast,South,272.99,137.80,,,
1990,Area 6,BC North Coast,South,196.09,283.48,,,
1991,Area 6,BC North Coast,South,105.90,362.13,,,
1992,Area 6,BC North Coast,South,152.38,272.44,,,
1993,Area 6,BC North Coast,South,119.88,-1.00,,,
1994,Area 6,BC North Coast,South,249.63,-1.00,,,
1969,Kadashan,Southeast Alaska,South,15.45,43.82,,,
1970,Kadashan,Southeast Alaska,South,32.18,23.02,,,
1971,Kadashan,Southeast Alaska,South,64.93,9.65,,,
1972,Kadashan,Southeast Alaska,South,45.89,15.70,,,
1973,Kadashan,Southeast Alaska,South,35.34,19.69,,,
1974,Kadashan,Southeast Alaska,South,26.98,18.11,,,
1975,Kadashan,Southeast Alaska,South,5.55,28.71,,,
1976,Kadashan,Southeast Alaska,South,13.69,39.85,,,
1977,Kadashan,Southeast Alaska,South,19.59,40.85,,,
1978,Kadashan,Southeast Alaska,South,9.25,71.00,,,
1979,Kadashan,Southeast Alaska,South,10.52,126.14,,,
1980,Kadashan,Southeast Alaska,South,37.03,161.09,,,
1981,Kadashan,Southeast Alaska,South,16.65,89.24,,,
1982,Kadashan,Southeast Alaska,South,14.15,34.09,,,
1983,Kadashan,Southeast Alaska,South,36.06,107.09,,,
1984,Kadashan,Southeast Alaska,South,52.54,-1.00,,,
1985,Kadashan,Southeast Alaska,South,36.16,-1.00,,,
1972,Alsek,Yakutat,North,8.00,27.52,,,
1973,Alsek,Yakutat,North,10.00,23.59,,,
1974,Alsek,Yakutat,North,5.00,13.90,,,
1975,Alsek,Yakutat,North,2.00,30.11,,,
1976,Alsek,Yakutat,North,20.00,43.30,,,
1977,Alsek,Yakutat,North,20.00,17.72,,,
1978,Alsek,Yakutat,North,8.00,14.38,,,
1979,Alsek,Yakutat,North,3.00,30.98,,,
1980,Alsek,Yakutat,North,40.00,35.94,,,
1981,Alsek,Yakutat,North,10.00,28.01,,,
1982,Alsek,Yakutat,North,3.00,28.62,,,
1983,Alsek,Yakutat,North,10.00,23.52,,,
1984,Alsek,Yakutat,North,15.00,29.62,,,
1985,Alsek,Yakutat,North,7.00,18.35,,,
1986,Alsek,Yakutat,North,20.00,8.58,,,
1987,Alsek,Yakutat,North,0.60,-1.00,,,
1988,Alsek,Yakutat,North,5.00,-1.00,,,
1966,PWS,Prince William Sound,North,142.60,295.10,,,
1967,PWS,Prince William Sound,North,127.20,809.40,,,
1968,PWS,Prince William Sound,North,74.60,508.20,,,
1969,PWS,Prince William Sound,North,91.50,1044.90,,,
1970,PWS,Prince William Sound,North,61.60,96.30,,,
1971,PWS,Prince William Sound,North,109.80,177.50,,,
1972,PWS,Prince William Sound,North,269.20,381.40,,,
1973,PWS,Prince William Sound,North,491.30,957.70,,,
1974,PWS,Prince William Sound,North,166.90,495.70,,,
1975,PWS,Prince William Sound,North,47.30,356.60,,,
1976,PWS,Prince William Sound,North,80.50,347.80,,,
1977,PWS,Prince William Sound,North,159.50,2086.40,,,
1978,PWS,Prince William Sound,North,156.20,1963.40,,,
1979,PWS,Prince William Sound,North,80.30,1135.40,,,
1980,PWS,Prince William Sound,North,89.80,1354.90,,,
1981,PWS,Prince William Sound,North,134.10,1501.40,,,
1982,PWS,Prince William Sound,North,285.50,2232.80,,,
1983,PWS,Prince William Sound,North,347.50,2229.50,,,
1984,PWS,Prince William Sound,North,224.60,645.10,,,
1985,PWS,Prince William Sound,North,185.20,1411.00,,,
1986,PWS,Prince William Sound,North,218.70,341.50,,,
1987,PWS,Prince William Sound,North,319.00,165.20,,,
1988,PWS,Prince William Sound,North,483.80,171.10,,,
1989,PWS,Prince William Sound,North,243.20,345.90,,,
1990,PWS,Prince William Sound,North,299.00,87.80,,,
1991,PWS,Prince William Sound,North,133.40,197.50,,,
1992,PWS,Prince William Sound,North,63.10,501.40,,,
1993,PWS,Prince William Sound,North,127.00,270.10,,,
1994,PWS,Prince William Sound,North,99.10,-1.00,,,
1995,PWS,Prince William Sound,North,147.50,-1.00,,,
1964,Cook Outer D.,Cook Inlet,North,21.00,31.94,,,
1965,Cook Outer D.,Cook Inlet,North,7.50,26.81,,,
1966,Cook Outer D.,Cook Inlet,North,17.00,44.69,,,
1967,Cook Outer D.,Cook Inlet,North,13.00,16.12,,,
1968,Cook Outer D.,Cook Inlet,North,24.50,20.93,,,
1969,Cook Outer D.,Cook Inlet,North,11.50,41.83,,,
1970,Cook Outer D.,Cook Inlet,North,14.50,23.14,,,
1971,Cook Outer D.,Cook Inlet,North,13.50,35.52,,,
1972,Cook Outer D.,Cook Inlet,North,11.00,28.73,,,
1973,Cook Outer D.,Cook Inlet,North,18.00,61.20,,,
1974,Cook Outer D.,Cook Inlet,North,6.80,83.39,,,
1975,Cook Outer D.,Cook Inlet,North,36.40,168.81,,,
1976,Cook Outer D.,Cook Inlet,North,14.50,81.37,,,
1977,Cook Outer D.,Cook Inlet,North,26.60,104.88,,,
1978,Cook Outer D.,Cook Inlet,North,32.10,52.14,,,
1979,Cook Outer D.,Cook Inlet,North,55.80,57.41,,,
1980,Cook Outer D.,Cook Inlet,North,38.10,32.27,,,
1981,Cook Outer D.,Cook Inlet,North,34.10,22.78,,,
1982,Cook Outer D.,Cook Inlet,North,13.20,28.32,,,
1983,Cook Outer D.,Cook Inlet,North,44.70,53.88,,,
1984,Cook Outer D.,Cook Inlet,North,31.80,63.07,,,
1985,Cook Outer D.,Cook Inlet,North,12.60,11.10,,,
1986,Cook Outer D.,Cook Inlet,North,12.30,12.83,,,
1987,Cook Outer D.,Cook Inlet,North,19.50,31.30,,,
1988,Cook Outer D.,Cook Inlet,North,17.10,13.32,,,
1989,Cook Outer D.,Cook Inlet,North,9.30,8.98,,,
1990,Cook Outer D.,Cook Inlet,North,4.20,14.46,,,
1991,Cook Outer D.,Cook Inlet,North,24.70,15.16,,,
1992,Cook Outer D.,Cook Inlet,North,13.80,11.08,,,
1993,Cook Outer D.,Cook Inlet,North,6.20,9.03,,,
1994,Cook Outer D.,Cook Inlet,North,14.20,-1.00,,,
1995,Cook Outer D.,Cook Inlet,North,16.10,-1.00,,,
1964,Cook S D.,Cook Inlet,North,13.00,5.12,,,
1966,Cook S D.,Cook Inlet,North,11.00,72.33,,,
1967,Cook S D.,Cook Inlet,North,15.00,98.35,,,
1968,Cook S D.,Cook Inlet,North,3.00,39.27,,,
1970,Cook S D.,Cook Inlet,North,5.90,4.17,,,
1971,Cook S D.,Cook Inlet,North,6.00,8.39,,,
1972,Cook S D.,Cook Inlet,North,4.50,9.37,,,
1973,Cook S D.,Cook Inlet,North,3.00,22.88,,,
1974,Cook S D.,Cook Inlet,North,1.10,18.46,,,
1975,Cook S D.,Cook Inlet,North,8.00,19.75,,,
1976,Cook S D.,Cook Inlet,North,3.40,31.38,,,
1977,Cook S D.,Cook Inlet,North,11.60,80.31,,,
1978,Cook S D.,Cook Inlet,North,14.10,31.35,,,
1979,Cook S D.,Cook Inlet,North,10.40,13.46,,,
1980,Cook S D.,Cook Inlet,North,5.10,13.20,,,
1981,Cook S D.,Cook Inlet,North,16.30,6.39,,,
1982,Cook S D.,Cook Inlet,North,11.00,4.01,,,
1983,Cook S D.,Cook Inlet,North,7.20,6.00,,,
1984,Cook S D.,Cook Inlet,North,10.70,10.16,,,
1985,Cook S D.,Cook Inlet,North,5.40,3.61,,,
1986,Cook S D.,Cook Inlet,North,3.10,3.72,,,
1987,Cook S D.,Cook Inlet,North,3.50,3.70,,,
1988,Cook S D.,Cook Inlet,North,11.60,3.62,,,
1989,Cook S D.,Cook Inlet,North,3.10,9.70,,,
1990,Cook S D.,Cook Inlet,North,3.60,14.32,,,
1991,Cook S D.,Cook Inlet,North,4.20,9.51,,,
1992,Cook S D.,Cook Inlet,North,2.20,12.60,,,
1993,Cook S D.,Cook Inlet,North,7.90,17.68,,,
1994,Cook S D.,Cook Inlet,North,16.50,-1.00,,,
1995,Cook S D.,Cook Inlet,North,8.00,-1.00,,,
1971,Kamishak,Cook Inlet,North,23.00,53.52,,,
1972,Kamishak,Cook Inlet,North,16.60,122.24,,,
1973,Kamishak,Cook Inlet,North,42.00,134.97,,,
1974,Kamishak,Cook Inlet,North,25.20,160.22,,,
1975,Kamishak,Cook Inlet,North,26.00,104.42,,,
1976,Kamishak,Cook Inlet,North,83.50,98.84,,,
1977,Kamishak,Cook Inlet,North,61.70,129.27,,,
1978,Kamishak,Cook Inlet,North,135.60,199.59,,,
1979,Kamishak,Cook Inlet,North,64.50,225.01,,,
1980,Kamishak,Cook Inlet,North,67.50,131.02,,,
1981,Kamishak,Cook Inlet,North,85.00,63.65,,,
1982,Kamishak,Cook Inlet,North,106.80,147.60,,,
1983,Kamishak,Cook Inlet,North,131.50,212.20,,,
1984,Kamishak,Cook Inlet,North,83.30,256.36,,,
1985,Kamishak,Cook Inlet,North,33.00,102.67,,,
1986,Kamishak,Cook Inlet,North,92.90,45.72,,,
1987,Kamishak,Cook Inlet,North,102.00,54.86,,,
1988,Kamishak,Cook Inlet,North,118.90,59.75,,,
1989,Kamishak,Cook Inlet,North,104.20,64.06,,,
1990,Kamishak,Cook Inlet,North,38.90,61.61,,,
1991,Kamishak,Cook Inlet,North,50.40,76.20,,,
1992,Kamishak,Cook Inlet,North,50.50,74.53,,,
1993,Kamishak,Cook Inlet,North,66.50,66.84,,,
1994,Kamishak,Cook Inlet,North,56.40,-1.00,,,
1995,Kamishak,Cook Inlet,North,66.80,-1.00,,,
1972,Upper Cook,Cook Inlet,North,1018.42,1682.08,,,
1973,Upper Cook,Cook Inlet,North,1291.19,2759.31,,,
1974,Upper Cook,Cook Inlet,North,731.03,1397.46,,,
1975,Upper Cook,Cook Inlet,North,1630.03,2017.18,,,
1976,Upper Cook,Cook Inlet,North,519.68,1777.98,,,
1977,Upper Cook,Cook Inlet,North,2463.22,3047.57,,,
1978,Upper Cook,Cook Inlet,North,426.98,2970.37,,,
1979,Upper Cook,Cook Inlet,North,1790.06,1447.23,,,
1980,Upper Cook,Cook Inlet,North,837.88,1656.35,,,
1981,Upper Cook,Cook Inlet,North,2482.70,2009.68,,,
1982,Upper Cook,Cook Inlet,North,1541.83,2819.02,,,
1983,Upper Cook,Cook Inlet,North,1062.11,799.97,,,
1984,Upper Cook,Cook Inlet,North,1028.28,1777.65,,,
1985,Upper Cook,Cook Inlet,North,1280.68,973.05,,,
1986,Upper Cook,Cook Inlet,North,1485.38,668.38,,,
1987,Upper Cook,Cook Inlet,North,777.64,861.50,,,
1988,Upper Cook,Cook Inlet,North,1320.09,736.60,,,
1989,Upper Cook,Cook Inlet,North,756.85,516.85,,,
1990,Upper Cook,Cook Inlet,North,421.31,566.89,,,
1991,Upper Cook,Cook Inlet,North,508.36,1579.35,,,
1992,Upper Cook,Cook Inlet,North,637.87,308.40,,,
1993,Upper Cook,Cook Inlet,North,205.12,735.07,,,
1994,Upper Cook,Cook Inlet,North,549.95,-1.00,,,
1995,Upper Cook,Cook Inlet,North,815.76,-1.00,,,
1962,Kodiak,Kodiak,North,297.90,715.19,,,
1963,Kodiak,Kodiak,North,75.52,548.94,,,
1964,Kodiak,Kodiak,North,261.43,767.25,,,
1965,Kodiak,Kodiak,North,67.16,761.30,,,
1966,Kodiak,Kodiak,North,143.70,1265.80,,,
1967,Kodiak,Kodiak,North,136.08,1667.40,,,
1968,Kodiak,Kodiak,North,121.00,1216.02,,,
1969,Kodiak,Kodiak,North,77.29,537.34,,,
1970,Kodiak,Kodiak,North,123.15,315.32,,,
1971,Kodiak,Kodiak,North,249.33,506.66,,,
1972,Kodiak,Kodiak,North,335.12,1265.44,,,
1973,Kodiak,Kodiak,North,258.04,1617.46,,,
1974,Kodiak,Kodiak,North,86.38,1212.32,,,
1975,Kodiak,Kodiak,North,156.76,1282.20,,,
1976,Kodiak,Kodiak,North,312.91,1926.13,,,
1977,Kodiak,Kodiak,North,742.38,2145.67,,,
1978,Kodiak,Kodiak,North,482.96,2160.18,,,
1979,Kodiak,Kodiak,North,607.43,1740.32,,,
1980,Kodiak,Kodiak,North,830.07,1299.22,,,
1981,Kodiak,Kodiak,North,741.98,1366.91,,,
1982,Kodiak,Kodiak,North,1023.92,1614.97,,,
1983,Kodiak,Kodiak,North,824.75,1556.45,,,
1984,Kodiak,Kodiak,North,682.94,1786.98,,,
1985,Kodiak,Kodiak,North,723.39,1346.07,,,
1986,Kodiak,Kodiak,North,655.82,1362.54,,,
1987,Kodiak,Kodiak,North,641.58,1684.28,,,
1988,Kodiak,Kodiak,North,558.53,1116.75,,,
1989,Kodiak,Kodiak,North,1432.61,987.76,,,
1990,Kodiak,Kodiak,North,474.62,1493.66,,,
1991,Kodiak,Kodiak,North,934.34,1624.75,,,
1992,Kodiak,Kodiak,North,530.13,-1.00,,,
1993,Kodiak,Kodiak,North,234.38,-1.00,,,
1962,Chignik Central D.,Chignik,North,40.40,30.75,,,
1963,Chignik Central D.,Chignik,North,34.00,24.55,,,
1964,Chignik Central D.,Chignik,North,24.20,16.15,,,
1965,Chignik Central D.,Chignik,North,19.20,23.68,,,
1966,Chignik Central D.,Chignik,North,10.00,47.31,,,
1967,Chignik Central D.,Chignik,North,17.20,34.49,,,
1968,Chignik Central D.,Chignik,North,14.50,15.81,,,
1969,Chignik Central D.,Chignik,North,6.50,18.72,,,
1970,Chignik Central D.,Chignik,North,23.40,27.73,,,
1971,Chignik Central D.,Chignik,North,29.10,22.14,,,
1972,Chignik Central D.,Chignik,North,14.20,20.27,,,
1973,Chignik Central D.,Chignik,North,12.20,20.22,,,
1974,Chignik Central D.,Chignik,North,18.10,34.19,,,
1975,Chignik Central D.,Chignik,North,18.80,60.32,,,
1976,Chignik Central D.,Chignik,North,17.80,108.99,,,
1977,Chignik Central D.,Chignik,North,9.30,148.78,,,
1978,Chignik Central D.,Chignik,North,13.80,69.23,,,
1979,Chignik Central D.,Chignik,North,44.80,34.51,,,
1980,Chignik Central D.,Chignik,North,34.20,33.65,,,
1981,Chignik Central D.,Chignik,North,26.10,30.68,,,
1982,Chignik Central D.,Chignik,North,49.40,47.82,,,
1983,Chignik Central D.,Chignik,North,17.00,50.22,,,
1984,Chignik Central D.,Chignik,North,35.40,72.87,,,
1985,Chignik Central D.,Chignik,North,9.60,71.60,,,
1986,Chignik Central D.,Chignik,North,31.00,114.06,,,
1987,Chignik Central D.,Chignik,North,17.50,120.37,,,
1988,Chignik Central D.,Chignik,North,55.80,168.67,,,
1989,Chignik Central D.,Chignik,North,34.70,116.87,,,
1990,Chignik Central D.,Chignik,North,28.00,161.90,,,
1991,Chignik Central D.,Chignik,North,18.00,126.57,,,
1992,Chignik Central D.,Chignik,North,173.10,-1.00,,,
1993,Chignik Central D.,Chignik,North,39.40,-1.00,,,
1962,Chignik E D.,Chignik,North,79.60,160.32,,,
1963,Chignik E D.,Chignik,North,55.20,136.18,,,
1964,Chignik E D.,Chignik,North,165.40,137.58,,,
1965,Chignik E D.,Chignik,North,58.00,169.94,,,
1966,Chignik E D.,Chignik,North,58.00,340.27,,,
1967,Chignik E D.,Chignik,North,89.80,263.39,,,
1968,Chignik E D.,Chignik,North,63.00,118.67,,,
1969,Chignik E D.,Chignik,North,66.50,68.61,,,
1970,Chignik E D.,Chignik,North,126.00,64.57,,,
1971,Chignik E D.,Chignik,North,219.20,72.02,,,
1972,Chignik E D.,Chignik,North,107.40,104.02,,,
1973,Chignik E D.,Chignik,North,59.10,64.69,,,
1974,Chignik E D.,Chignik,North,76.30,86.20,,,
1975,Chignik E D.,Chignik,North,41.30,129.38,,,
1976,Chignik E D.,Chignik,North,122.30,184.64,,,
1977,Chignik E D.,Chignik,North,54.50,223.82,,,
1978,Chignik E D.,Chignik,North,55.80,162.20,,,
1979,Chignik E D.,Chignik,North,79.50,121.75,,,
1980,Chignik E D.,Chignik,North,107.00,154.54,,,
1981,Chignik E D.,Chignik,North,126.00,21.85,,,
1982,Chignik E D.,Chignik,North,145.40,32.25,,,
1983,Chignik E D.,Chignik,North,50.20,127.49,,,
1984,Chignik E D.,Chignik,North,214.70,216.65,,,
1985,Chignik E D.,Chignik,North,4.90,113.41,,,
1986,Chignik E D.,Chignik,North,8.50,133.83,,,
1987,Chignik E D.,Chignik,North,38.30,173.27,,,
1988,Chignik E D.,Chignik,North,221.90,288.06,,,
1989,Chignik E D.,Chignik,North,74.30,157.83,,,
1990,Chignik E D.,Chignik,North,139.70,130.36,,,
1991,Chignik E D.,Chignik,North,70.40,130.78,,,
1992,Chignik E D.,Chignik,North,306.90,-1.00,,,
1993,Chignik E D.,Chignik,North,135.20,-1.00,,,
1962,Chignik W D.,Chignik,North,83.10,75.73,,,
1963,Chignik W D.,Chignik,North,10.00,72.30,,,
1964,Chignik W D.,Chignik,North,37.00,86.62,,,
1965,Chignik W D.,Chignik,North,25.00,106.03,,,
1966,Chignik W D.,Chignik,North,12.00,239.62,,,
1967,Chignik W D.,Chignik,North,24.00,263.14,,,
1968,Chignik W D.,Chignik,North,9.60,75.65,,,
1969,Chignik W D.,Chignik,North,27.60,39.57,,,
1970,Chignik W D.,Chignik,North,49.70,42.83,,,
1971,Chignik W D.,Chignik,North,184.10,58.26,,,
1972,Chignik W D.,Chignik,North,59.00,108.92,,,
1973,Chignik W D.,Chignik,North,35.60,128.14,,,
1974,Chignik W D.,Chignik,North,39.40,93.35,,,
1975,Chignik W D.,Chignik,North,43.40,130.28,,,
1976,Chignik W D.,Chignik,North,55.00,193.60,,,
1977,Chignik W D.,Chignik,North,70.40,284.99,,,
1978,Chignik W D.,Chignik,North,27.30,235.23,,,
1979,Chignik W D.,Chignik,North,42.50,121.55,,,
1980,Chignik W D.,Chignik,North,56.50,82.80,,,
1981,Chignik W D.,Chignik,North,70.30,58.48,,,
1982,Chignik W D.,Chignik,North,35.40,86.76,,,
1983,Chignik W D.,Chignik,North,20.10,113.05,,,
1984,Chignik W D.,Chignik,North,73.80,89.66,,,
1985,Chignik W D.,Chignik,North,34.60,48.78,,,
1986,Chignik W D.,Chignik,North,5.30,121.02,,,
1987,Chignik W D.,Chignik,North,19.70,130.27,,,
1988,Chignik W D.,Chignik,North,27.40,93.86,,,
1989,Chignik W D.,Chignik,North,7.40,67.40,,,
1990,Chignik W D.,Chignik,North,28.80,141.86,,,
1991,Chignik W D.,Chignik,North,38.10,160.80,,,
1992,Chignik W D.,Chignik,North,53.30,-1.00,,,
1993,Chignik W D.,Chignik,North,14.00,-1.00,,,
1962,Perryville,Chignik,North,10.50,21.23,,,
1963,Perryville,Chignik,North,7.00,10.96,,,
1964,Perryville,Chignik,North,26.00,17.48,,,
1965,Perryville,Chignik,North,7.00,27.38,,,
1966,Perryville,Chignik,North,20.40,48.76,,,
1967,Perryville,Chignik,North,5.70,54.45,,,
1968,Perryville,Chignik,North,1.80,21.06,,,
1969,Perryville,Chignik,North,1.00,10.92,,,
1970,Perryville,Chignik,North,13.00,14.94,,,
1971,Perryville,Chignik,North,30.00,21.49,,,
1972,Perryville,Chignik,North,11.50,22.57,,,
1973,Perryville,Chignik,North,9.30,25.02,,,
1974,Perryville,Chignik,North,12.50,37.38,,,
1975,Perryville,Chignik,North,20.50,50.67,,,
1976,Perryville,Chignik,North,8.90,71.57,,,
1977,Perryville,Chignik,North,15.40,62.89,,,
1978,Perryville,Chignik,North,5.30,42.24,,,
1979,Perryville,Chignik,North,12.80,36.48,,,
1980,Perryville,Chignik,North,29.10,35.40,,,
1981,Perryville,Chignik,North,19.30,25.21,,,
1982,Perryville,Chignik,North,23.60,37.65,,,
1983,Perryville,Chignik,North,8.20,45.42,,,
1984,Perryville,Chignik,North,46.00,58.85,,,
1985,Perryville,Chignik,North,12.90,39.74,,,
1986,Perryville,Chignik,North,7.70,191.52,,,
1987,Perryville,Chignik,North,9.80,303.46,,,
1988,Perryville,Chignik,North,41.40,96.51,,,
1989,Perryville,Chignik,North,15.90,112.97,,,
1990,Perryville,Chignik,North,55.80,178.95,,,
1991,Perryville,Chignik,North,343.20,199.54,,,
1992,Perryville,Chignik,North,40.30,-1.00,,,
1993,Perryville,Chignik,North,66.80,-1.00,,,
