BY,Stock,Region,Area,S,R,,,
1962,Izembek,Alaska Peninsula,North,68.00,56.75,,,
1963,Izembek,Alaska Peninsula,North,133.50,76.88,,,
1964,Izembek,Alaska Peninsula,North,95.50,163.90,,,
1965,Izembek,Alaska Peninsula,North,24.00,97.12,,,
1966,Izembek,Alaska Peninsula,North,54.00,74.57,,,
1967,Izembek,Alaska Peninsula,North,32.80,96.69,,,
1968,Izembek,Alaska Peninsula,North,142.70,131.25,,,
1969,Izembek,Alaska Peninsula,North,95.30,145.46,,,
1970,Izembek,Alaska Peninsula,North,58.10,88.87,,,
1971,Izembek,Alaska Peninsula,North,54.10,97.82,,,
1972,Izembek,Alaska Peninsula,North,65.80,214.22,,,
1973,Izembek,Alaska Peninsula,North,68.10,349.04,,,
1974,Izembek,Alaska Peninsula,North,76.00,220.69,,,
1975,Izembek,Alaska Peninsula,North,74.30,297.41,,,
1976,Izembek,Alaska Peninsula,North,127.70,599.35,,,
1977,Izembek,Alaska Peninsula,North,381.40,468.30,,,
1978,Izembek,Alaska Peninsula,North,134.10,261.89,,,
1979,Izembek,Alaska Peninsula,North,178.00,368.21,,,
1980,Izembek,Alaska Peninsula,North,364.20,473.89,,,
1981,Izembek,Alaska Peninsula,North,235.00,306.81,,,
1982,Izembek,Alaska Peninsula,North,166.40,266.55,,,
1983,Izembek,Alaska Peninsula,North,173.30,419.89,,,
1984,Izembek,Alaska Peninsula,North,427.50,347.95,,,
1985,Izembek,Alaska Peninsula,North,194.70,122.58,,,
1986,Izembek,Alaska Peninsula,North,142.40,139.92,,,
1987,Izembek,Alaska Peninsula,North,286.00,223.22,,,
1988,Izembek,Alaska Peninsula,North,304.40,232.65,,,
1989,Izembek,Alaska Peninsula,North,90.60,188.78,,,
1990,Izembek,Alaska Peninsula,North,92.50,138.73,,,
1991,Izembek,Alaska Peninsula,North,172.40,140.60,,,
1992,Izembek,Alaska Peninsula,North,182.20,254.59,,,
1993,Izembek,Alaska Peninsula,North,172.90,228.47,,,
1994,Izembek,Alaska Peninsula,North,140.50,-1.00,,,
1995,Izembek,Alaska Peninsula,North,88.30,-1.00,,,
1962,Bechevin,Alaska Peninsula,North,48.00,49.34,,,
1963,Bechevin,Alaska Peninsula,North,22.30,24.92,,,
1964,Bechevin,Alaska Peninsula,North,16.00,17.84,,,
1965,Bechevin,Alaska Peninsula,North,1.80,9.60,,,
1966,Bechevin,Alaska Peninsula,North,10.00,9.27,,,
1967,Bechevin,Alaska Peninsula,North,15.40,12.98,,,
1968,Bechevin,Alaska Peninsula,North,19.80,13.02,,,
1969,Bechevin,Alaska Peninsula,North,8.00,12.87,,,
1970,Bechevin,Alaska Peninsula,North,5.60,11.35,,,
1971,Bechevin,Alaska Peninsula,North,5.90,23.73,,,
1972,Bechevin,Alaska Peninsula,North,11.20,51.69,,,
1973,Bechevin,Alaska Peninsula,North,7.50,75.63,,,
1974,Bechevin,Alaska Peninsula,North,6.10,65.95,,,
1975,Bechevin,Alaska Peninsula,North,17.30,50.02,,,
1976,Bechevin,Alaska Peninsula,North,38.30,112.90,,,
1977,Bechevin,Alaska Peninsula,North,54.30,84.42,,,
1978,Bechevin,Alaska Peninsula,North,29.50,56.91,,,
1979,Bechevin,Alaska Peninsula,North,12.40,53.79,,,
1980,Bechevin,Alaska Peninsula,North,41.10,115.93,,,
1981,Bechevin,Alaska Peninsula,North,29.60,124.18,,,
1982,Bechevin,Alaska Peninsula,North,23.80,82.97,,,
1983,Bechevin,Alaska Peninsula,North,20.20,117.10,,,
1984,Bechevin,Alaska Peninsula,North,33.40,98.55,,,
1985,Bechevin,Alaska Peninsula,North,25.70,33.61,,,
1986,Bechevin,Alaska Peninsula,North,23.30,33.22,,,
1987,Bechevin,Alaska Peninsula,North,55.50,62.37,,,
1988,Bechevin,Alaska Peninsula,North,51.80,73.98,,,
1989,Bechevin,Alaska Peninsula,North,19.40,86.10,,,
1990,Bechevin,Alaska Peninsula,North,18.40,182.25,,,
1991,Bechevin,Alaska Peninsula,North,49.40,278.37,,,
1992,Bechevin,Alaska Peninsula,North,33.10,114.75,,,
1993,Bechevin,Alaska Peninsula,North,46.10,74.76,,,
1994,Bechevin,Alaska Peninsula,North,108.90,-1.00,,,
1995,Bechevin,Alaska Peninsula,North,320.00,-1.00,,,
1962,AKPen SE and Scentral D.,Alaska Peninsula,North,238.60,457.21,,,
1963,AKPen SE and Scentral D.,Alaska Peninsula,North,263.00,284.75,,,
1964,AKPen SE and Scentral D.,Alaska Peninsula,North,160.80,268.40,,,
1965,AKPen SE and Scentral D.,Alaska Peninsula,North,203.30,359.56,,,
1966,AKPen SE and Scentral D.,Alaska Peninsula,North,354.80,706.60,,,
1967,AKPen SE and Scentral D.,Alaska Peninsula,North,132.80,645.82,,,
1968,AKPen SE and Scentral D.,Alaska Peninsula,North,191.70,285.42,,,
1969,AKPen SE and Scentral D.,Alaska Peninsula,North,96.90,218.82,,,
1970,AKPen SE and Scentral D.,Alaska Peninsula,North,171.70,212.62,,,
1971,AKPen SE and Scentral D.,Alaska Peninsula,North,199.10,240.77,,,
1972,AKPen SE and Scentral D.,Alaska Peninsula,North,145.00,424.28,,,
1973,AKPen SE and Scentral D.,Alaska Peninsula,North,130.90,640.96,,,
1974,AKPen SE and Scentral D.,Alaska Peninsula,North,169.80,671.98,,,
1975,AKPen SE and Scentral D.,Alaska Peninsula,North,160.20,705.14,,,
1976,AKPen SE and Scentral D.,Alaska Peninsula,North,225.30,1002.62,,,
1977,AKPen SE and Scentral D.,Alaska Peninsula,North,500.90,1158.90,,,
1978,AKPen SE and Scentral D.,Alaska Peninsula,North,386.20,1053.56,,,
1979,AKPen SE and Scentral D.,Alaska Peninsula,North,302.70,1054.28,,,
1980,AKPen SE and Scentral D.,Alaska Peninsula,North,241.60,1102.53,,,
1981,AKPen SE and Scentral D.,Alaska Peninsula,North,234.50,976.51,,,
1982,AKPen SE and Scentral D.,Alaska Peninsula,North,203.00,1154.74,,,
1983,AKPen SE and Scentral D.,Alaska Peninsula,North,328.90,1091.12,,,
1984,AKPen SE and Scentral D.,Alaska Peninsula,North,446.00,926.62,,,
1985,AKPen SE and Scentral D.,Alaska Peninsula,North,284.70,685.49,,,
1986,AKPen SE and Scentral D.,Alaska Peninsula,North,239.60,818.74,,,
1987,AKPen SE and Scentral D.,Alaska Peninsula,North,329.20,866.41,,,
1988,AKPen SE and Scentral D.,Alaska Peninsula,North,269.10,692.13,,,
1989,AKPen SE and Scentral D.,Alaska Peninsula,North,189.20,653.55,,,
1990,AKPen SE and Scentral D.,Alaska Peninsula,North,210.90,919.24,,,
1991,AKPen SE and Scentral D.,Alaska Peninsula,North,345.40,849.03,,,
1992,AKPen SE and Scentral D.,Alaska Peninsula,North,194.10,628.20,,,
1993,AKPen SE and Scentral D.,Alaska Peninsula,North,172.40,658.88,,,
1994,AKPen SE and Scentral D.,Alaska Peninsula,North,211.70,-1.00,,,
1995,AKPen SE and Scentral D.,Alaska Peninsula,North,324.75,-1.00,,,
1962,AKPen SW and Unimak D.,Alaska Peninsula,North,160.80,86.81,,,
1963,AKPen SW and Unimak D.,Alaska Peninsula,North,183.70,88.22,,,
1964,AKPen SW and Unimak D.,Alaska Peninsula,North,294.00,110.57,,,
1965,AKPen SW and Unimak D.,Alaska Peninsula,North,24.20,119.82,,,
1966,AKPen SW and Unimak D.,Alaska Peninsula,North,67.20,241.34,,,
1967,AKPen SW and Unimak D.,Alaska Peninsula,North,50.10,274.69,,,
1968,AKPen SW and Unimak D.,Alaska Peninsula,North,87.40,147.83,,,
1969,AKPen SW and Unimak D.,Alaska Peninsula,North,37.70,100.50,,,
1970,AKPen SW and Unimak D.,Alaska Peninsula,North,108.80,75.16,,,
1971,AKPen SW and Unimak D.,Alaska Peninsula,North,144.10,69.13,,,
1972,AKPen SW and Unimak D.,Alaska Peninsula,North,109.50,182.59,,,
1973,AKPen SW and Unimak D.,Alaska Peninsula,North,81.60,287.18,,,
1974,AKPen SW and Unimak D.,Alaska Peninsula,North,87.50,261.50,,,
1975,AKPen SW and Unimak D.,Alaska Peninsula,North,33.10,243.15,,,
1976,AKPen SW and Unimak D.,Alaska Peninsula,North,101.90,324.95,,,
1977,AKPen SW and Unimak D.,Alaska Peninsula,North,274.00,403.87,,,
1978,AKPen SW and Unimak D.,Alaska Peninsula,North,214.30,437.19,,,
1979,AKPen SW and Unimak D.,Alaska Peninsula,North,108.40,557.03,,,
1980,AKPen SW and Unimak D.,Alaska Peninsula,North,120.80,670.00,,,
1981,AKPen SW and Unimak D.,Alaska Peninsula,North,146.80,650.36,,,
1982,AKPen SW and Unimak D.,Alaska Peninsula,North,183.90,617.82,,,
1983,AKPen SW and Unimak D.,Alaska Peninsula,North,117.60,602.52,,,
1984,AKPen SW and Unimak D.,Alaska Peninsula,North,253.70,553.93,,,
1985,AKPen SW and Unimak D.,Alaska Peninsula,North,218.80,282.05,,,
1986,AKPen SW and Unimak D.,Alaska Peninsula,North,305.00,361.80,,,
1987,AKPen SW and Unimak D.,Alaska Peninsula,North,291.50,445.90,,,
1988,AKPen SW and Unimak D.,Alaska Peninsula,North,227.30,421.68,,,
1989,AKPen SW and Unimak D.,Alaska Peninsula,North,121.30,748.73,,,
1990,AKPen SW and Unimak D.,Alaska Peninsula,North,143.80,1095.80,,,
1991,AKPen SW and Unimak D.,Alaska Peninsula,North,242.20,736.57,,,
1992,AKPen SW and Unimak D.,Alaska Peninsula,North,141.40,457.02,,,
1993,AKPen SW and Unimak D.,Alaska Peninsula,North,224.63,478.60,,,
1994,AKPen SW and Unimak D.,Alaska Peninsula,North,367.40,-1.00,,,
1995,AKPen SW and Unimak D.,Alaska Peninsula,North,401.65,-1.00,,,
1962,AKPen N,Bristol Bay,North,34.40,105.20,,,
1963,AKPen N,Bristol Bay,North,47.40,100.18,,,
1964,AKPen N,Bristol Bay,North,44.60,101.96,,,
1965,AKPen N,Bristol Bay,North,23.50,86.29,,,
1966,AKPen N,Bristol Bay,North,85.50,122.05,,,
1967,AKPen N,Bristol Bay,North,74.40,73.89,,,
1968,AKPen N,Bristol Bay,North,88.30,76.45,,,
1969,AKPen N,Bristol Bay,North,43.50,79.49,,,
1970,AKPen N,Bristol Bay,North,106.10,40.80,,,
1971,AKPen N,Bristol Bay,North,49.40,53.06,,,
1972,AKPen N,Bristol Bay,North,47.00,187.79,,,
1973,AKPen N,Bristol Bay,North,41.40,288.34,,,
1974,AKPen N,Bristol Bay,North,23.00,180.33,,,
1975,AKPen N,Bristol Bay,North,17.60,273.86,,,
1976,AKPen N,Bristol Bay,North,127.40,655.34,,,
1977,AKPen N,Bristol Bay,North,245.50,603.28,,,
1978,AKPen N,Bristol Bay,North,146.90,481.42,,,
1979,AKPen N,Bristol Bay,North,114.90,483.60,,,
1980,AKPen N,Bristol Bay,North,364.20,740.61,,,
1981,AKPen N,Bristol Bay,North,276.40,491.06,,,
1982,AKPen N,Bristol Bay,North,130.70,268.67,,,
1983,AKPen N,Bristol Bay,North,199.10,322.28,,,
1984,AKPen N,Bristol Bay,North,409.30,328.85,,,
1985,AKPen N,Bristol Bay,North,123.90,234.58,,,
1986,AKPen N,Bristol Bay,North,77.90,211.96,,,
1987,AKPen N,Bristol Bay,North,161.40,246.57,,,
1988,AKPen N,Bristol Bay,North,144.10,342.42,,,
1989,AKPen N,Bristol Bay,North,102.30,283.12,,,
1990,AKPen N,Bristol Bay,North,115.60,330.24,,,
1991,AKPen N,Bristol Bay,North,81.50,431.93,,,
1992,AKPen N,Bristol Bay,North,136.40,429.41,,,
1993,AKPen N,Bristol Bay,North,183.40,271.73,,,
1994,AKPen N,Bristol Bay,North,230.80,-1.00,,,
1995,AKPen N,Bristol Bay,North,347.80,-1.00,,,
1974,Nushagak,Bristol Bay,North,100.00,592.46,,,
1976,Nushagak,Bristol Bay,North,500.00,1835.35,,,
1978,Nushagak,Bristol Bay,North,293.00,923.13,,,
1979,Nushagak,Bristol Bay,North,166.00,468.22,,,
1980,Nushagak,Bristol Bay,North,969.00,1187.44,,,
1981,Nushagak,Bristol Bay,North,177.00,550.80,,,
1982,Nushagak,Bristol Bay,North,256.00,1023.53,,,
1983,Nushagak,Bristol Bay,North,164.00,430.00,,,
1984,Nushagak,Bristol Bay,North,362.00,459.71,,,
1985,Nushagak,Bristol Bay,North,288.00,880.01,,,
1986,Nushagak,Bristol Bay,North,168.28,706.43,,,
1987,Nushagak,Bristol Bay,North,147.43,817.89,,,
1988,Nushagak,Bristol Bay,North,186.42,752.71,,,
1989,Nushagak,Bristol Bay,North,377.51,745.01,,,
1990,Nushagak,Bristol Bay,North,329.79,501.62,,,
1991,Nushagak,Bristol Bay,North,287.28,442.59,,,
1992,Nushagak,Bristol Bay,North,302.68,531.02,,,
1993,Nushagak,Bristol Bay,North,217.23,236.14,,,
1994,Nushagak,Bristol Bay,North,378.93,-1.00,,,
1995,Nushagak,Bristol Bay,North,212.61,-1.00,,,
1978,Togiak,Bristol Bay,North,396.00,304.66,,,
1979,Togiak,Bristol Bay,North,293.00,467.90,,,
1980,Togiak,Bristol Bay,North,415.00,398.83,,,
1981,Togiak,Bristol Bay,North,331.00,323.83,,,
1982,Togiak,Bristol Bay,North,86.00,947.01,,,
1983,Togiak,Bristol Bay,North,164.54,1130.70,,,
1984,Togiak,Bristol Bay,North,204.45,496.04,,,
1985,Togiak,Bristol Bay,North,212.00,201.04,,,
1986,Togiak,Bristol Bay,North,330.00,256.00,,,
1987,Togiak,Bristol Bay,North,361.00,411.10,,,
1988,Togiak,Bristol Bay,North,412.00,321.51,,,
1989,Togiak,Bristol Bay,North,143.89,290.31,,,
1990,Togiak,Bristol Bay,North,67.46,421.89,,,
1991,Togiak,Bristol Bay,North,149.21,211.70,,,
1992,Togiak,Bristol Bay,North,120.00,384.66,,,
1993,Togiak,Bristol Bay,North,98.47,-1.00,,,
1994,Togiak,Bristol Bay,North,229.47,-1.00,,,
1974,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,437.49,658.20,,,
1975,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,1465.21,1437.24,,,
1976,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,268.84,828.55,,,
1977,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,514.84,1351.99,,,
1978,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,320.49,444.67,,,
1979,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,780.82,1088.37,,,
1980,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,261.11,582.66,,,
1981,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,551.19,1288.85,,,
1982,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,179.83,579.08,,,
1983,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,347.16,1113.55,,,
1984,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,270.04,596.90,,,
1985,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,664.43,1191.57,,,
1986,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,376.37,801.48,,,
1987,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,651.94,928.39,,,
1988,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,325.13,379.50,,,
1989,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,506.17,651.72,,,
1990,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,369.65,1043.14,,,
1991,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,591.13,1433.55,,,
1992,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,324.25,874.44,,,
1993,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,352.69,550.11,,,
1994,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,769.92,384.73,,,
1995,Yukon Fall Run,Arctic-Yukon-Kuskokwim,North,1055.60,347.24,,,
1972,Anvik,Arctic-Yukon-Kuskokwim,North,457.80,237.40,,,
1973,Anvik,Arctic-Yukon-Kuskokwim,North,249.02,609.64,,,
1974,Anvik,Arctic-Yukon-Kuskokwim,North,411.13,869.52,,,
1975,Anvik,Arctic-Yukon-Kuskokwim,North,900.97,542.14,,,
1976,Anvik,Arctic-Yukon-Kuskokwim,North,511.48,2162.46,,,
1977,Anvik,Arctic-Yukon-Kuskokwim,North,358.77,980.36,,,
1978,Anvik,Arctic-Yukon-Kuskokwim,North,307.27,817.17,,,
1979,Anvik,Arctic-Yukon-Kuskokwim,North,280.54,656.94,,,
1980,Anvik,Arctic-Yukon-Kuskokwim,North,492.68,1388.59,,,
1981,Anvik,Arctic-Yukon-Kuskokwim,North,1486.18,2215.85,,,
1982,Anvik,Arctic-Yukon-Kuskokwim,North,444.58,756.48,,,
1983,Anvik,Arctic-Yukon-Kuskokwim,North,362.91,855.01,,,
1984,Anvik,Arctic-Yukon-Kuskokwim,North,891.03,2100.60,,,
1985,Anvik,Arctic-Yukon-Kuskokwim,North,1080.24,785.74,,,
1986,Anvik,Arctic-Yukon-Kuskokwim,North,1189.60,988.86,,,
1987,Anvik,Arctic-Yukon-Kuskokwim,North,455.88,1207.40,,,
1988,Anvik,Arctic-Yukon-Kuskokwim,North,1125.45,507.88,,,
1989,Anvik,Arctic-Yukon-Kuskokwim,North,636.91,1224.63,,,
1990,Anvik,Arctic-Yukon-Kuskokwim,North,403.63,1137.73,,,
1991,Anvik,Arctic-Yukon-Kuskokwim,North,847.77,1383.42,,,
1992,Anvik,Arctic-Yukon-Kuskokwim,North,775.63,1091.93,,,
1993,Anvik,Arctic-Yukon-Kuskokwim,North,517.41,407.62,,,
1972,Andreafsky,Arctic-Yukon-Kuskokwim,North,146.34,423.43,,,
1973,Andreafsky,Arctic-Yukon-Kuskokwim,North,187.59,388.02,,,
1974,Andreafsky,Arctic-Yukon-Kuskokwim,North,121.52,369.68,,,
1975,Andreafsky,Arctic-Yukon-Kuskokwim,North,820.95,395.80,,,
1976,Andreafsky,Arctic-Yukon-Kuskokwim,North,399.84,591.65,,,
1977,Andreafsky,Arctic-Yukon-Kuskokwim,North,314.20,327.12,,,
1978,Andreafsky,Arctic-Yukon-Kuskokwim,North,207.44,540.70,,,
1979,Andreafsky,Arctic-Yukon-Kuskokwim,North,196.31,210.24,,,
1980,Andreafsky,Arctic-Yukon-Kuskokwim,North,415.30,195.73,,,
1981,Andreafsky,Arctic-Yukon-Kuskokwim,North,290.99,374.51,,,
1982,Andreafsky,Arctic-Yukon-Kuskokwim,North,358.23,327.38,,,
1983,Andreafsky,Arctic-Yukon-Kuskokwim,North,218.49,110.89,,,
1984,Andreafsky,Arctic-Yukon-Kuskokwim,North,138.52,264.00,,,
1985,Andreafsky,Arctic-Yukon-Kuskokwim,North,212.45,121.29,,,
1986,Andreafsky,Arctic-Yukon-Kuskokwim,North,345.18,195.24,,,
1987,Andreafsky,Arctic-Yukon-Kuskokwim,North,108.72,231.94,,,
1988,Andreafsky,Arctic-Yukon-Kuskokwim,North,150.12,113.56,,,
1989,Andreafsky,Arctic-Yukon-Kuskokwim,North,150.30,217.40,,,
1990,Andreafsky,Arctic-Yukon-Kuskokwim,North,95.25,489.13,,,
1991,Andreafsky,Arctic-Yukon-Kuskokwim,North,140.35,258.22,,,
1992,Andreafsky,Arctic-Yukon-Kuskokwim,North,183.03,211.23,,,
1993,Andreafsky,Arctic-Yukon-Kuskokwim,North,122.10,55.99,,,
1994,Andreafsky,Arctic-Yukon-Kuskokwim,North,397.00,163.86,,,
1995,Andreafsky,Arctic-Yukon-Kuskokwim,North,340.05,38.50,,,
1965,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,52.64,83.11,,,
1966,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,38.86,216.33,,,
1967,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,40.97,160.48,,,
1968,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,33.45,39.39,,,
1969,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,53.02,73.59,,,
1970,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,154.91,94.34,,,
1971,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,69.60,99.49,,,
1972,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,62.64,19.53,,,
1973,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,35.24,91.61,,,
1974,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,64.44,69.41,,,
1975,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,33.35,45.64,,,
1976,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,9.20,76.47,,,
1977,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,37.01,95.15,,,
1978,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,29.71,112.54,,,
1979,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,15.02,141.88,,,
1980,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,29.55,113.75,,,
1981,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,69.62,82.74,,,
1982,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,44.63,53.73,,,
1983,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,73.68,38.68,,,
1984,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,133.15,46.64,,,
1985,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,54.03,13.70,,,
1986,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,33.71,44.83,,,
1987,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,28.56,31.44,,,
1988,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,19.10,21.54,,,
1989,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,23.18,32.52,,,
1990,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,19.96,68.64,,,
1991,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,44.24,61.79,,,
1992,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,14.69,35.48,,,
1993,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,23.99,23.18,,,
1994,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,56.85,36.47,,,
1995,Kwiniuk and Tubutulik,Arctic-Yukon-Kuskokwim,North,61.80,16.69,,,
1976,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,17.62,109.14,,,
1977,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,45.10,94.38,,,
1978,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,91.80,51.95,,,
1979,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,12.31,49.02,,,
1980,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,91.09,57.64,,,
1981,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,86.68,59.23,,,
1982,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,33.74,51.43,,,
1983,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,26.98,46.41,,,
1984,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,46.91,31.18,,,
1985,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,51.31,18.11,,,
1986,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,35.06,35.33,,,
1987,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,36.51,58.81,,,
1988,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,29.73,39.96,,,
1989,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,12.59,40.95,,,
1990,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,15.38,62.70,,,
1991,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,66.22,82.66,,,
1992,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,36.90,57.12,,,
1993,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,36.16,54.90,,,
1994,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,45.39,39.85,,,
1995,Norton S. D.1,Arctic-Yukon-Kuskokwim,North,92.11,-1.00,,,
1962,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,172.32,124.59,,,
1963,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,86.59,107.93,,,
1964,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,117.83,73.58,,,
1965,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,106.33,111.08,,,
1966,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,110.49,425.13,,,
1967,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,60.82,244.80,,,
1968,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,58.58,257.52,,,
1969,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,51.10,507.43,,,
1970,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,161.47,734.15,,,
1971,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,71.72,987.49,,,
1972,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,88.99,190.01,,,
1973,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,177.86,294.51,,,
1974,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,234.61,146.73,,,
1975,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,157.69,153.20,,,
1976,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,57.67,807.65,,,
1977,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,91.40,897.83,,,
1978,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,48.77,420.10,,,
1979,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,29.21,311.59,,,
1980,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,216.75,-1.00,,,
1981,Kotzebue S.,Arctic-Yukon-Kuskokwim,North,154.45,-1.00,,,