Realisation number,AIC fold,AIC flip,AIC hopf,AIC null
1,1.6317621837904947e-22,1.0,4.911976343603981e-20,2.885996730696528e-20
2,6.03511731422421e-14,0.004984599236562129,0.9950153885895204,1.2173856931526357e-08
3,3.0538357170641685e-15,0.9960773252164333,0.00392266194854042,1.2835023246042715e-08
4,2.150469870786041e-16,0.9991466372192741,0.0008533627177207368,6.300489184904452e-11
5,1.235028424119922e-16,0.9999999999949096,4.935326261057496e-12,1.5486312953993633e-13
6,4.178080761891571e-11,0.9992880758229449,0.0006933391236067148,1.8585011667491692e-05
7,1.5060854658232284e-14,0.9999999390838635,6.070362242379669e-08,2.1249886608230739e-10
8,7.020648596613235e-11,0.09998167474634903,0.8999445437336188,7.378144982574194e-05
9,1.0296980254898965e-15,0.9999999999804936,1.604592456010947e-11,3.4594780395614878e-12
10,3.425660187930851e-17,0.9999999999617313,3.8105968843295607e-11,1.6282855753427742e-13
11,2.8439739044518973e-16,1.5520343391282578e-07,0.9999998447896109,6.954927221428468e-12
12,1.0200619051120093e-20,0.9999997511970027,2.488029963433587e-07,1.1852922438995059e-15
13,6.852457712934661e-13,0.9999999068969121,6.312170662769539e-08,2.99806959615224e-08
14,5.1923703206045344e-15,0.9996643250527945,0.0003356749105827948,3.661750783752479e-11
15,2.1985630266971267e-06,0.8402900604962501,0.06142613876277376,0.09828160217794925
16,2.3902560472241435e-12,0.8457449941553141,0.15425400043191217,1.0054103834547102e-06
17,1.8014410598247707e-12,0.9985672721907427,0.0014304072438028929,2.320563652786938e-06
18,2.7564449439394865e-19,0.9999999705510068,2.9448991867924507e-08,1.4151879051584078e-15
19,5.34855224856919e-20,0.9999999999998979,1.0197781460222549e-13,1.912128110444888e-16
20,2.913337826678339e-18,0.1337076865939944,0.8662923134052559,7.495351476423634e-13
21,3.7041933848654006e-21,0.9999999788020772,2.1197922530505447e-08,2.1898254004340746e-16
22,4.384720152438602e-20,0.9999980031729497,1.996827041385505e-06,8.89905671464845e-15
23,8.995066500788573e-17,0.8804867285226521,0.11951327121552703,2.618209283694865e-10
24,5.835437974105648e-18,0.9999999999944145,5.570015982320192e-12,1.5482049224040433e-14
25,2.5953665340029054e-22,0.9999999999999922,7.769539322894145e-15,8.503660453750779e-19
26,6.019359296864884e-15,0.9999898316364173,1.0168244735148342e-05,1.1884152991471266e-10
27,1.0386384070545117e-14,8.442928583762126e-05,0.9999155684400578,2.274094318674325e-09
28,5.979756872562726e-08,0.588342576475096,0.4031345072312106,0.00852285649612466
29,1.2386660360502962e-14,0.5627129231260461,0.4372870743976534,2.476288051914974e-09
30,1.441745133554949e-25,0.9999999999999833,1.6623955783440784e-14,4.198126362838758e-21
31,6.021877703222079e-23,0.9999999999999825,1.7617103424130036e-14,6.131517481484968e-19
32,5.149750618726698e-18,0.9999999844131549,1.558680649200669e-08,3.869854930186594e-14
33,6.297916776360682e-09,0.18183535966795675,0.8165033338661654,0.0016613001679611267
34,1.8698851872185778e-20,0.9999999999999531,4.6620182503847334e-14,1.3379696614677704e-16
35,8.1499825121429295e-16,0.9999999953642835,4.560016738416463e-09,7.569885115470216e-11
36,3.510561956262953e-12,0.9997600124860206,0.00023965898949642698,3.285209724313136e-07
37,9.900145660590051e-21,0.9999999999561286,4.387039623680687e-11,8.903612213993137e-16
38,1.8984980600990591e-13,0.9998763925271249,0.00012355485827446447,5.261441082068478e-08
39,3.584926077205771e-15,1.0171616175857582e-05,0.9999898283078914,7.592907915502436e-11
40,1.4518649449334606e-13,0.9999671115271145,3.2862765895360064e-05,2.5706844858165627e-08
41,3.2711837653680375e-12,0.0001930089164530734,0.999806495729629,4.953506467522975e-07
42,3.652410629954424e-13,0.9999866807723962,1.331546341346956e-05,3.763825171825805e-09
43,4.556360163679172e-16,0.9999999971021152,2.8894391001739913e-09,8.445217962218317e-12
44,5.5825129638534764e-14,0.9999999976564025,2.2375834662803144e-09,1.0595842175066121e-10
45,4.3897760189351996e-13,0.9999605889995213,3.898396340655741e-05,4.270366330890619e-07
46,3.862175848076354e-11,0.9972348807759732,0.002722872475426425,4.224670997859372e-05
47,1.2864384113371048e-25,1.0,4.392868224697814e-20,1.9813459443432566e-22
48,1.9379319553628565e-16,0.0038915339733975687,0.9961084660056655,2.093679469426194e-11
49,9.523510578010726e-24,1.0,2.3236182071826376e-17,3.256699685512927e-20
50,1.5268707058172816e-13,0.003986481934144226,0.996013460633376,5.7432327120073143e-08
51,6.792893450023196e-15,0.9525874063143258,0.04741259108069326,2.604974077818853e-09
52,9.08476864844184e-18,0.025096924681158466,0.9749030753145033,4.338241342264261e-12
53,1.5356751373930474e-21,0.9999999999994651,5.349324850779505e-13,3.156632949479492e-17
54,8.445221272000173e-15,0.9997468473728067,0.00025315001098112026,2.6162035739552846e-09
55,2.5003816437849347e-19,0.9999999999625044,3.748996707833952e-11,5.554204185914092e-15
56,5.075888925894514e-17,0.9999999968055278,3.193540073908591e-09,9.321160541034748e-13
57,1.0476281768116424e-19,0.999995828429638,4.171570325141011e-06,3.681466248350207e-14
58,1.0961220537512405e-14,0.053003930619691546,0.9469960689520678,4.2822976434945803e-10
59,1.3556085039370195e-08,0.9982819456415333,0.0014834026686797244,0.00023463813370210417
60,1.629766328766911e-11,0.9999329523958523,6.692112996121167e-05,1.264578887179386e-07
61,8.841042932451998e-20,0.9999999995429774,4.570210242670106e-10,1.639407513301101e-15
62,3.720487620950542e-19,0.999999999998539,1.4596573521856098e-12,1.3927639777897088e-15
63,5.0751162251661146e-15,0.9986425523335061,0.001357440372830879,7.293658061366002e-09
64,2.131426370278011e-16,0.9999982599523105,1.7400326343282732e-06,1.5054935330892884e-11
65,6.604150211648091e-10,0.8323830045815774,0.16759720039127965,1.9794366727922732e-05
66,8.790059477850347e-30,1.0,3.158239726583624e-25,9.286949549946336e-27
67,1.2397454460291198e-28,1.0,3.032750555910754e-17,5.849999933265565e-24
68,3.5469841253029896e-08,0.9995229367807287,0.00045831188880845905,1.8715860621705777e-05
69,7.68783939689035e-14,0.0003042941687848692,0.9996957037470258,2.0841123849160254e-09
70,2.468391823637218e-14,0.9999812354453746,1.8764224391280664e-05,3.302094186157081e-10
71,9.038146544547115e-12,0.995814494333974,0.004185213953292764,2.9170369526277875e-07
72,1.6567727574234196e-16,0.9999991008695202,8.991248277956964e-07,5.6518149879690316e-12
73,4.4435876116208985e-17,0.9999999999957245,4.156649400746362e-12,1.1868602360855135e-13
74,4.208269099992571e-15,0.9999855176095105,1.4458379609456026e-05,2.401087592311407e-08
75,1.945787248375943e-18,0.05704108766423959,0.942958912334285,1.4753971622435222e-12
76,2.093526299274342e-14,0.9999804147882037,1.9578120228991403e-05,7.091546583333912e-09
77,2.3034492055414957e-14,0.01516851488880138,0.9848314793483358,5.762839835885794e-09
78,8.016976518112464e-15,0.6657188313063032,0.3342811665660243,2.127664468543408e-09
79,2.6476449137435293e-18,0.9999999999862907,1.3669313747992298e-11,3.994143380043608e-14
80,5.518735437681103e-12,0.9999983140900316,1.6530600734231527e-06,3.2844376351016336e-08
81,2.0480715608784852e-10,0.9999986365961125,9.431965796026876e-07,4.200025006244423e-07
82,8.173915015333466e-12,0.9999351437571231,6.476357187416314e-05,9.266282895980847e-08
83,5.529524580300516e-12,0.9968191001261305,0.0031807191294386866,1.8073890142902367e-07
84,1.5205248243501333e-13,0.0006284858586260609,0.9993714902231755,2.3918046517783082e-08
85,3.253660376358294e-11,0.7563752596770239,0.24360139039148004,2.3349898959541792e-05
86,9.425320629312728e-15,0.9663132713500011,0.033686728529717457,1.2027207697644393e-10
87,1.5395722773860016e-11,0.019826532672173523,0.9801730442573502,4.2305508058562076e-07
88,2.220250272643081e-15,0.9999999997813593,2.1062392357898894e-10,8.014503289436345e-12
89,1.3316716283026684e-23,0.9997899446469445,0.0002100553530554445,7.84037090875747e-18
90,2.3460027968367192e-21,0.9999999999998566,1.435162804015497e-13,4.4781228506509445e-17
91,1.9012826707071832e-22,0.9999999963478918,3.6521082315492434e-09,1.4629063959607577e-17
92,1.674025868041763e-13,0.9999999784503544,2.0950095557195203e-08,5.993824799810327e-10
93,9.299555777204082e-25,1.0,4.6175046298402956e-17,8.661342428333533e-21
94,7.386091067592986e-12,0.9326643099379752,0.06732888231917683,6.807735461793245e-06
95,4.133421050214209e-17,0.9999999981437317,1.855052406508641e-09,1.2159076912358953e-12
96,3.2890410157580254e-20,5.4959645233469795e-09,0.9999999945040317,3.86923058002553e-15
97,1.4707121993063109e-09,0.9998703044246903,9.644080784530322e-05,3.3253296752380523e-05
98,2.822393841067225e-13,0.9999999617972019,3.48420782047604e-08,3.360437876164984e-09
99,5.904140764522141e-16,0.9999906116465357,9.388252620295854e-06,1.0084353684545246e-10
100,8.9181951860264e-18,0.9453699434468273,0.05463005655142702,1.7456346168526566e-12
